Phylum,A_wet_1,A_wet_2,A_wet_3,C_wet_1,C_wet_2,C_wet_3,A_dry_1,A_dry_2,A_dry_3,C_dry_1,C_dry_2,C_dry_3
Unclassified,38,71,41,27,40,16,30,33,59,7,9,23
Acidobacteria,5548,8402,6372,3980,5848,4843,4050,3845,6260,590,734,1384
Actinobacteria,2467,3953,2337,2093,2159,2322,10358,7867,9218,1606,2481,8266
Apicomplexa,0,0,0,0,0,1,1,5,0,0,1,2
Armatimonadetes,86,90,106,43,64,55,231,174,249,26,24,125
Bacteroidetes,1546,2040,1265,974,962,1254,400,457,777,108,133,107
BRC1,7,17,3,8,6,12,3,5,9,0,1,2
Ca._Berkelbacteria,0,0,0,0,0,0,0,0,0,0,0,0
Ca._Dependentiae_(TM6),5,13,4,2,1,7,8,0,15,0,0,0
Ca._Latescibacteria_(WS3),54,117,75,35,91,56,95,87,163,15,26,41
Ca._Omnitrophica_(OP3),0,0,0,0,0,0,0,0,0,0,0,0
Ca._Parcubacteria,2,2,2,0,1,2,0,2,1,1,0,0
Ca._Peregrinibacteria,0,3,0,0,2,0,0,6,0,2,0,1
p__Ca._Saccharibacteria_(TM7),9,15,7,4,6,5,7,7,14,1,4,4
Ca._Tectomicrobia,99,189,136,79,128,95,440,321,501,61,95,257
Chlamydiae,2,0,0,0,1,0,3,0,2,0,0,1
Chlorobi,27,24,10,4,11,16,3,1,4,1,0,1
Chloroflexi,425,757,382,297,396,517,2215,1791,2499,307,383,964
Cyanobacteria,45,55,19,9,11,7,43,58,46,4,4,13
Deinococcus-Thermus,0,0,0,0,0,0,0,0,0,0,0,0
Elusimicrobia,5,8,3,0,3,0,2,2,12,0,0,2
Epsilonbacteraeota,204,290,277,154,165,217,239,180,343,48,38,146
Fibrobacteres,2,5,5,3,6,1,1,1,5,0,0,0
Firmicutes,655,1362,396,212,344,199,635,705,823,60,95,137
Gemmatimonadetes,220,349,134,121,182,150,75,105,137,12,9,41
Halanaerobiales_phylum_incertae_sedis,0,0,0,0,2,0,0,0,0,0,0,0
Kiritimatiellaeota,0,0,0,0,1,0,0,0,0,0,0,0
Nitrospirae,2,8,2,6,5,7,10,3,11,1,0,0
Planctomycetes,1650,2666,1769,1237,1608,1544,2144,2421,3644,397,585,1136
Proteobacteria,4907,7977,5523,4445,4224,6091,3632,3602,5253,685,1256,2891
SPAM,490,798,601,321,571,517,462,413,816,53,88,157
Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0
Tenericutes,9,12,3,0,7,1,0,4,1,0,0,1
Thaumarchaeota,128,176,142,101,96,153,342,271,566,60,127,57
Verrucomicrobia,1582,2860,2005,1660,2401,1858,2173,2163,3411,456,631,1075