Site,Treatment,BacABD_nor,DNAVtranscripts,BacABD,EukABD,RNAVabd,Select
A,wet,42822,2107,42402,16111,408,all
A,wet,42749,5616,68679,27263,16519,all
A,wet,41064,4929,47221,49628,29013,all
C,wet,44803,2332,35083,38092,14455,all
C,wet,42335,3329,45743,26400,9952,all
C,wet,51057,4631,44306,31477,11805,all
A,dry,44085,2158,58975,40655,21586,all
A,dry,49686,1895,52185,34556,11758,all
A,dry,45611,2107,74822,16558,6498,all
C,dry,41347,1612,10446,40253,17024,all
C,dry,44413,2353,15421,38823,20715,all
C,dry,40208,1582,35930,28137,11188,all